- Abadia,"40.2816911533681,-6.0065775109"
- Abertura,"39.2743638995941,-5.8001398096"
- Acebo,"40.2143928600746,-6.7091579182"
- Acehuche,"39.7984318047644,-6.6412962220"
- Aceituna,"40.1380756600269,-6.2894349506"
- Ahigal,"40.1651638860628,-6.1999968618"
- Albala,"39.2631288035281,-6.2136574842"
- Alcantara,"39.7231874431826,-6.8622017081"
- Alcollarin,"39.2079480583234,-5.7146225321"
- Alcuescar,"39.1609481340603,-6.2244306957"
- Aldea-del-Cano,"39.2870715986163,-6.3096365890"
- Aldea-del-Obispo-La,"39.5789831938691,-5.9168993488"
- Aldeacentenera,"39.5270279046965,-5.6277809239"
- Aldeanueva-de-la-Vera,"40.1377620411226,-5.7067432595"
- Aldeanueva-del-Camino,"40.2549721256914,-5.9273942915"
- Aldehuela-de-Jerte,"40.0160209373133,-6.2393416354"
- Alia,"39.4392910476979,-5.1663266360"
- Aliseda,"39.4099664332604,-6.6908555879"
- Almaraz,"39.8084304583316,-5.6695307125"
- Almoharin,"39.1494186436827,-6.0537426701"
- Arroyo-de-la-Luz,"39.5114849146111,-6.5796815554"
- Arroyomolinos,"39.14453538418,-6.145081978888"
- Arroyomolinos-de-la-Vera,"40.0469868327498,-5.8798484153"
- Banos-de-Montemayor,"40.3105129787462,-5.8766235137"
- Barrado,"40.0829874375865,-5.8909330404"
- Belvis-de-Monroy,"39.8185879383883,-5.6032730975"
- Benquerencia,"39.3067659698984,-6.0843309677"
- Berrocalejo,"39.8223719617221,-5.3487388216"
- Berzocana,"39.4730058459679,-5.5186827080"
- Bohonal-de-Ibor,"39.7949668759347,-5.4524823989"
- Botija,"39.3436500472783,-6.0862325035"
- Brozas,"39.5388467482299,-6.7671797093"
- Cabanas-del-Castillo,"39.5301862278939,-5.5065626215"
- Cabezabellosa,"40.1257089876727,-6.0025285077"
- Cabezuela-del-Valle,"40.2020449043597,-5.8013978758"
- Cabrero,"40.1189657165966,-5.8904456369"
- Caceres,"39.4282320285373,-6.4378180840"
- Cachorrilla,"39.9076083844814,-6.6822229458"
- Cadalso,"40.2451832104196,-6.5307555866"
- Calzadilla,"40.0540516697376,-6.5591000715"
- Caminomorisco,"40.3537749767544,-6.1843195442"
- Campillo-de-Deleitosa,"39.7132735119905,-5.5759470299"
- Campo-Lugar,"39.1676111780368,-5.7533641633"
- Canamero,"39.3814968140165,-5.3941671121"
- Canaveral,"39.8076852989997,-6.3717078301"
- Carbajo,"39.6274185613555,-7.1752117744"
- Carcaboso,"40.0441580666843,-6.2098203014"
- Carrascalejo,"39.6397855967712,-5.2136318403"
- Casar-de-Caceres,"39.5570227027942,-6.4819619457"
- Casar-de-Palomero,"40.290078059114,-6.26222946367"
- Casares-de-las-Hurdes,"40.4358488631915,-6.3169929424"
- Casas-de-Don-Antonio,"39.2330152827154,-6.2807238407"
- Casas-de-Don-Gomez,"40.015058241606,-6.60454566750"
- Casas-de-Millan,"39.7861192062784,-6.3028586163"
- Casas-de-Miravete,"39.7443518566568,-5.7716448069"
- Casas-del-Castanar,"40.1018800025583,-5.9412025320"
- Casas-del-Monte,"40.2043707895112,-5.9531916436"
- Casatejada,"39.9385879196323,-5.6761019042"
- Casillas-de-Coria,"39.9672538957428,-6.6632405917"
- Castanar-de-Ibor,"39.6810321374243,-5.4283568911"
- Ceclavin,"39.8325439513039,-6.7322036193"
- Cedillo,"39.6309496084705,-7.4750297525"
- Cerezo,"40.2344543758324,-6.2403508813"
- Cilleros,"40.0785178229911,-6.8289161817"
- Collado,"40.0359009214874,-5.6814758280"
- Conquista-de-la-Sierra,"39.3281395340668,-5.7449998189"
- Coria,"39.9783558273047,-6.5039627226"
- Cuacos-de-Yuste,"40.0720033623907,-5.6792485169"
- Cumbre-La,"39.4594196070884,-6.0021851496"
- Deleitosa,"39.6334289056531,-5.6399789461"
